CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
790;FICSAE;Private;602;22;46;2;0;15;73;48,2;63;8;71;19;68;0;29;43;0;64;17;12;0;0;1;6602;1881;24515711,18;0;0;24515711,18;12451822,1;422287,4;1158669,81;5543159;3639762,82;490314,22;0;23706015,35
802;UNICARIOCA;Private;16944;0;1098;0;0;4406;192;46,3;83;96;187;3;6;0;41;138;13;205;52;13;5;1;1;1;0;121913634,8;0;8405982,29;130319617,1;16117080,54;11052003,42;4289661,84;23685350,5;921422,15;565629,42;8809866,15;65441014,02
849;FAC-FEA;Public;228;33;45;0;0;27;55;55,1;39;13;54;16;23;23;0;7;24;26;11;4;1;0;1;9;2;3191615,08;0;664235,27;3855850,35;1783915,73;354326,44;190241,96;726369,7;116216,72;9200;465868,01;3646138,56
878;UNILESTEMG;Private;6057;68;1283;0;0;829;163;44,3;39;100;160;3;36;0;36;100;24;158;71;26;1;0;1;232;1888;56203462,07;0;4269657,01;60473119,08;15182295,49;5698093,32;9160386,45;7666998,68;1929780,61;462702,88;12709330,91;52809588,34
890;EG;Public;268;2;77;1;0;4;43;47,8;28;14;40;12;33;0;38;0;4;52;3;12;10;21;1;0;0;1423005,94;0;0;1423005,94;1269877,4;528213,62;62415,64;175211,07;0;0;0;2035717,73
905;FACEPD;Private;151;0;24;0;0;4;31;39,5;15;15;27;5;9;0;7;6;14;40;13;0;5;1;0;200;7800;26000564,54;0;772035;26772599,54;813101,87;2993956,25;866708,16;19341838,72;0;0;1173698;25189303
922;FCGD;Private;906;0;162;0;0;93;30;44;7;23;30;0;10;9;0;20;1;42;20;4;0;1;0;60;0;6817221,37;0;32060,74;6849282,11;1488026,95;1240520,48;2132960,62;2104858,65;574760,2;245091,99;19084;7805302,89
923;FACCSR;Private;1545;6;234;0;0;419;47;45,7;13;18;47;0;11;0;14;32;1;18;6;3;0;0;1;4207;202736;8071692,23;0;510895,25;8582587,48;2497051,32;440656,11;1259856,39;2128614,02;158246,47;40358,46;0;6524782,77
944;ESPM RJ;Private;1895;0;231;1;0;157;94;48,4;44;48;94;12;20;0;37;24;33;82;23;12;1;0;1;10393;16882;315658266,5;0;18263547,4;333921813,9;81089415;50327847,38;83227569,74;88112285,98;863987,97;28346713,19;18105849,7;350073669
952;UNISANTA;Private;8073;13;1456;45;0;493;475;52,2;162;273;453;62;61;0;187;234;54;531;247;20;9;2;1;257;8193;153872827;0;5923289,53;159796116,5;42307441,04;13191325;8495488,78;28345565,62;1036691,7;0;665215,69;94041727,83
